12471,NWS-IDP-PROD-4278195-3600978!&LubbockTX,2020-06-18,f,23412537,1243538
12472,NWS-IDP-PROD-4278253-3601016!&LubbockTX,2020-06-18,f,23412537,1243554
12491,NWS-IDP-PROD-4293367-3608511!&LarimerCO,2020-06-26,f,23412545,1244811
12492,NWS-IDP-PROD-4293367-3608511!&LarimerCO,2020-06-26,f,23412544,1244811
12489,NWS-IDP-PROD-4293367-3608511!&AdamsCO,2020-06-26,t,23412550,1244822
12490,NWS-IDP-PROD-4293852-3608800!&JeffersonCO,2020-06-26,t,23412541,1244723
12485,NWS-IDP-PROD-4293367-3608511!&AdamsCO,2020-06-26,t,23412551,1244822
12493,NWS-IDP-PROD-4294014-3608897!&DallasTX,2020-06-27,t,23412523,1245041
12494,NWS-IDP-PROD-4294979-3609538!&DallasTX,2020-06-27,t,23412523,1245196
12483,NWS-IDP-PROD-4293368-3608512!&PuebloCO,2020-06-26,t,23412536,1244834
12495,NWS-IDP-PROD-4296960-3610614!&UlsterNY,2020-06-28,t,23412501,1245589
12497,NWS-IDP-PROD-4302440-3613757!&LauderdaleAL,2020-07-01,f,23412503,1246275
12486,NWS-IDP-PROD-4293367-3608511!&JeffersonCO,2020-06-26,t,23412543,1244819
12427,NWS-IDP-PROD-4207488-3555269!&KarnesTX,2020-05-13,t,23412522,1236199
12496,NWS-IDP-PROD-4301763-3613388!&LauderdaleAL,2020-06-30,t,23412503,1246075
12487,NWS-IDP-PROD-4293852-3608800!&JeffersonCO,2020-06-26,t,23412543,1244723
12481,NWS-IDP-PROD-4281778-3602685!&DallasTX,2020-06-20,t,23412523,1244137
12488,NWS-IDP-PROD-4293367-3608511!&JeffersonCO,2020-06-26,t,23412541,1244819
12479,NWS-IDP-PROD-4281640-3602644!&DallasTX,2020-06-20,t,23412523,1244134
12524,NWS-IDP-PROD-4370855-3654175!&BaltimoreMD,2020-08-04,t,23412568,1248855
12525,NWS-IDP-PROD-4370958-3654263!&BaltimoreMD,2020-08-04,t,23412568,1248878
12508,NWS-IDP-PROD-4327192-3627598!&AddisonVT,2020-07-13,t,23412552,1247580
12498,NWS-IDP-PROD-4302715-3613913!&LauderdaleAL,2020-07-01,t,23412503,1246329
12511,NWS-IDP-PROD-4329178-3628576!&PuebloCO,2020-07-14,t,23412536,1247884
12530,NWS-IDP-PROD-4371807-3655014!&AdamsCO,2020-08-04,f,23412551,1248943
12531,NWS-IDP-PROD-4371807-3655014!&JeffersonCO,2020-08-04,f,23412543,1248936
12532,NWS-IDP-PROD-4371807-3655014!&AdamsCO,2020-08-04,f,23412550,1248943
12512,NWS-IDP-PROD-4355629-3643256!&DuvalFL,2020-07-29,t,23412561,1248104
12504,NWS-IDP-PROD-4308415-3616483!&ArapahoeCO,2020-07-04,t,23412549,1246918
12516,NWS-IDP-PROD-4364434-3648595!&AdamsCO,2020-08-02,f,23412551,1248537
12518,NWS-IDP-PROD-4364434-3648595!&JeffersonCO,2020-08-02,f,23412541,1248527
12519,NWS-IDP-PROD-4364434-3648595!&AdamsCO,2020-08-02,f,23412550,1248537
12520,NWS-IDP-PROD-4364434-3648595!&LarimerCO,2020-08-02,f,23412545,1248536
12521,NWS-IDP-PROD-4364434-3648595!&LarimerCO,2020-08-02,f,23412544,1248536
12534,NWS-IDP-PROD-4371795-3655005!&UlsterNY,2020-08-04,f,23412501,1248968
12517,NWS-IDP-PROD-4364434-3648595!&JeffersonCO,2020-08-02,t,23412543,1248527
12535,NWS-IDP-PROD-4371807-3655014!&LarimerCO,2020-08-04,f,23412545,1248941
12536,NWS-IDP-PROD-4371807-3655014!&LarimerCO,2020-08-04,f,23412544,1248941
12526,NWS-IDP-PROD-4371458-3654713!&BaltimoreMD,2020-08-04,t,23412568,1248912
12552,NWS-IDP-PROD-4374178-3656466!&PuebloCO,2020-08-06,f,23412536,1249161
12527,NWS-IDP-PROD-4371473-3654727!&BaltimoreMD,2020-08-04,t,23412568,1248905
12501,NWS-IDP-PROD-4303324-3614223!&ShelbyTN,2020-07-01,t,23412546,1246492
12514,NWS-IDP-PROD-4364434-3648595!&ArapahoeCO,2020-08-02,t,23412549,1248523
12545,NWS-IDP-PROD-4373569-3656182!&ArapahoeCO,2020-08-05,t,23412549,1249092
12528,NWS-IDP-PROD-4371807-3655014!&ArapahoeCO,2020-08-04,t,23412549,1248934
12513,NWS-IDP-PROD-4364435-3648596!&PuebloCO,2020-08-02,t,23412536,1248538
12541,NWS-IDP-PROD-4372484-3655561!&DuvalFL,2020-08-05,t,23412561,1249060
12560,NWS-IDP-PROD-4376946-3657843!&BaltimoreMD,2020-08-07,f,23412568,1249619
12503,NWS-IDP-PROD-4306527-3615711!&UlsterNY,2020-07-03,t,23412501,1246730
12537,NWS-IDP-PROD-4372393-3655493!&DuvalFL,2020-08-04,f,23412561,1249020
12500,NWS-IDP-PROD-4302965-3614038!&LauderdaleAL,2020-07-01,t,23412503,1246384
12499,NWS-IDP-PROD-4302757-3613945!&LauderdaleAL,2020-07-01,t,23412503,1246337
12538,NWS-IDP-PROD-4372375-3655478!&DuvalFL,2020-08-04,t,23412561,1249028
12529,NWS-IDP-PROD-4371810-3655017!&PuebloCO,2020-08-04,t,23412536,1248947
12539,NWS-IDP-PROD-4372427-3655523!&DuvalFL,2020-08-05,f,23412561,1249047
12515,NWS-IDP-PROD-4364622-3648686!&PuebloCO,2020-08-02,t,23412536,1248505
12505,NWS-IDP-PROD-4310216-3617395!&DallasTX,2020-07-05,t,23412523,1247110
12502,NWS-IDP-PROD-4304980-3614984!&DallasTX,2020-07-02,t,23412523,1246581
12507,NWS-IDP-PROD-4310481-3617548!&LauderdaleAL,2020-07-05,t,23412503,1247238
12522,NWS-IDP-PROD-4368043-3651661!&PuebloCO,2020-08-03,t,23412536,1248685
12506,NWS-IDP-PROD-4310286-3617433!&DallasTX,2020-07-05,t,23412523,1247217
12540,NWS-IDP-PROD-4372462-3655546!&DuvalFL,2020-08-05,f,23412561,1249036
12509,NWS-IDP-PROD-4327619-3627798!&LarimerCO,2020-07-13,f,23412545,1247610
12510,NWS-IDP-PROD-4327619-3627798!&LarimerCO,2020-07-13,f,23412544,1247610
12542,NWS-IDP-PROD-4372675-3655698!&LarimerCO,2020-08-05,f,23412545,1249064
12543,NWS-IDP-PROD-4372675-3655698!&LarimerCO,2020-08-05,f,23412544,1249064
12546,NWS-IDP-PROD-4373569-3656182!&AdamsCO,2020-08-05,f,23412551,1249105
12523,NWS-IDP-PROD-4370885-3654201!&BaltimoreMD,2020-08-04,t,23412568,1248846
